company_name,fyear,status_label,current_asset,costs_of_good_sold,depreciation_and_amortization,ebitda,inventory,net_income,total_receivables,market_value,net_sales,total_assets,total_long_term_debts,ebit,gross_profit,total_current_liabilities,retained_earnings,total_revenue,total_liabilities,total_operating_expenses,division,majorgroup,division_name,majorgroup_name
C_5240,2011,failed,9.0,115.0,1188.0,0.0,16.0,-1146.0,-1.13,-1.13,1.0,4218.0,-1314.0,-36148.0,0.0,0.058,2.5046,4218.0,0.058,1188.0,D,28,Manufacturing,Chemicals & Allied Products
C_6175,2006,failed,3953.0,4106.0,4957.0,19.0,62.0,-7855.0,-7.793,3731.0,0.0,9219.0,-14.57,-75165.0,2355.0,8.688,5.4996,9238.0,8.688,16.481,I,73,Services,Business Services
C_8720,2014,failed,0.88,1075.0,3013.0,0.0,26.0,-3774.0,-3748.0,85.0,0.468,11483.0,-3325.0,-21882.0,358.0,3.098,10.8446,11483.0,3.098,6846.0,G,59,Retail Trade,Miscellaneous Retail
C_4089,2007,failed,273776.0,445653.0,310.54,112667.0,24.74,-11402.0,13338.0,146687.0,39407.0,220991.0,-13743.0,-402.683,125877.0,457227.0,175.1575,357.919,457227.0,443889.0,D,35,Manufacturing,Industrial Machinery & Equipment
C_2051,2001,failed,28978.0,36774.0,92686.0,0.0,1854.0,2139.0,3993.0,43956.0,12.66,32843.0,2748.0,-28.444,3982.0,136642.0,11.6932,37679.0,136642.0,132649.0,G,57,Retail Trade,Furniture & Home Furnishings
C_2078,2012,failed,29283.0,31924.0,3262.0,0.0,332.0,-24.613,-24281.0,2926.0,4989.0,6.94,-22853.0,-231531.0,33.0,6188.0,445.8153,6.94,6188.0,30469.0,D,28,Manufacturing,Chemicals & Allied Products
C_6879,2005,failed,144.087,207553.0,82711.0,15729.0,2955.0,-85456.0,-82501.0,-82501.0,0.0,22555.0,-81547.0,-301087.0,5636.0,0.21,385.4487,38844.0,0.21,82711.0,D,28,Manufacturing,Chemicals & Allied Products
C_1212,2002,failed,167137.0,953325.0,336626.0,583444.0,98503.0,15407.0,113.91,140138.0,17.161,61575.0,-114054.0,-149.837,89363.0,476764.0,204.8749,652.699,476764.0,362854.0,B,13,Mining,Oil & Gas Extraction
C_1114,2005,failed,14961.0,15399.0,10459.0,0.0,0.219,-10669.0,-10.45,-10.45,0.0,1932.0,-10214.0,-63.281,0.0,9.0,66.2088,1941.0,9.0,10459.0,D,28,Manufacturing,Chemicals & Allied Products
C_4035,2002,failed,398751.0,1146376.0,295281.0,361068.0,278248.0,174.469,452717.0,1194785.0,97307.0,510687.0,241845.0,-245557.0,34996.0,1490066.0,902.9347,889227.0,1490066.0,1037349.0,I,78,Services,Motion Pictures
C_1012,2014,alive,25983.0,74252.0,112069.0,11695.0,1931.0,8818.0,10749.0,27298.0,11930.0,19027.0,4644.0,31632.0,9687.0,139367.0,109793.4,36289.0,139367.0,128618.0,G,59,Retail Trade,Miscellaneous Retail
C_677,2009,failed,931163.0,2827217.0,5901.348,1456602.0,245.46,-108924.0,136536.0,2912.22,467227.0,729845.0,-876498.0,-1083215.0,166143.0,8813.568,406.1604,3223663.0,8813.568,8677032.0,G,54,Retail Trade,Food Stores
C_2866,2002,failed,441797.0,1145.57,580.15,300899.0,22585.0,119628.0,142213.0,142213.0,214656.0,161105.0,66133.0,173.978,139.587,722363.0,544.1661,731.339,722363.0,580.15,E,45,"Transportation, Communications & Utilities",Air Transportation
C_7582,2013,failed,95363.0,655264.0,386067.0,220.0,31856.0,46.943,78.799,241276.0,8451.0,86133.0,12502.0,-14.35,25493.0,627.343,613.4488,364742.0,627.343,548544.0,G,59,Retail Trade,Miscellaneous Retail
C_5083,2007,failed,127.0,134.0,3.0,0.0,1.0,-1242.0,-1241.0,0.03,0.0,4385.0,-1.478,-73422.0,0.0,33.0,6.1285,4385.0,33.0,1274.0,H,67,"Finance, Insurance & Real Estate",Holding & Investment Offices
C_1212,2014,failed,469779.0,1520659.0,669.381,605.0,145121.0,116416.0,261.537,299303.0,47.943,178665.0,23451.0,-24663.0,270952.0,968684.0,374.6812,854445.0,968684.0,707.147,B,13,Mining,Oil & Gas Extraction
C_6589,2012,failed,10427.0,12024.0,2232.0,1.37,821.0,-10438.0,-9617.0,11767.0,376.0,8.393,-10696.0,-202597.0,2847.0,13999.0,40.0624,10027.0,13999.0,23616.0,D,35,Manufacturing,Industrial Machinery & Equipment
C_5658,2017,failed,55977.0,164033.0,20539.0,1551.0,1952.0,-49.068,-47.116,-10097.0,0.0,163075.0,-145975.0,-189599.0,27.47,10442.0,151.3201,164.626,10442.0,57558.0,I,73,Services,Business Services
C_4131,2005,failed,8132.0,22906.0,4984.0,10.52,138.0,-2177.0,-2039.0,5.28,2715.0,1735.0,-2977.0,-160.04,1.677,10264.0,58.6406,12375.0,10264.0,12303.0,D,38,Manufacturing,Instruments & Related Products
C_4242,2000,failed,39535.0,71987.0,68359.0,0.0,2.63,-0.27,2.36,19.57,21.27,32.428,-36.11,-27009.0,11017.0,87929.0,35.6702,33.07,87929.0,85569.0,D,39,Manufacturing,Miscellaneous Manufacturing
C_4784,2004,failed,122284.0,179317.0,387079.0,43879.0,5284.0,43483.0,48767.0,116821.0,0.0,91491.0,25587.0,525.0,52382.0,503.9,103.8162,148.919,503.9,455133.0,E,45,"Transportation, Communications & Utilities",Air Transportation
C_1372,2003,failed,7135.0,55.446,38821.0,12.62,3.53,4292.0,7822.0,16.84,637.0,5.548,1868.0,43.186,1286.0,55661.0,14.9611,19915.0,55661.0,47839.0,I,79,Services,Amusement & Recreation
C_7084,2001,failed,527.454,5150902.0,1677.426,984568.0,174.587,101204.0,275791.0,349344.0,215644.0,684303.0,-9683.0,85.858,178076.0,2026.77,1466.1619,4068.35,2026.77,1750979.0,B,12,Mining,Coal Mining
C_5711,1999,failed,4455.0,49.0,86728.0,16204.0,3733.0,3457.0,7.19,12338.0,1.05,12226.0,1425.0,4593.0,2061.0,99066.0,10.6358,28962.0,99066.0,91876.0,G,58,Retail Trade,Eating & Drinking Places
C_6692,2004,failed,2619.0,6.054,3273.0,155.0,42.0,-308.0,-266.0,2963.0,843.0,779.0,-177.0,1.03,1054.0,6.236,128.8788,961.0,6.236,6.502,D,36,Manufacturing,Electronic & Electrical Equipment
C_2350,2004,failed,85698.0,192313.0,208114.0,120655.0,8.931,16298.0,25229.0,52163.0,30292.0,65264.0,-7.878,-45173.0,51473.0,260277.0,18.3488,193.22,260277.0,235048.0,D,30,Manufacturing,Rubber & Plastics
C_2002,2001,failed,288249.0,418.738,368885.0,46.311,13877.0,56639.0,70516.0,251736.0,107562.0,155833.0,28021.0,170.427,162306.0,620621.0,305.1357,202144.0,620621.0,550105.0,D,23,Manufacturing,Apparel & Finished Products
C_1883,2003,failed,272514.0,413.75,908994.0,7289.0,25671.0,50621.0,76292.0,393656.0,239748.0,107072.0,33721.0,164183.0,23931.0,1302.65,1094.5769,123137.0,1302.65,1226358.0,G,53,Retail Trade,General Merchandise Stores
C_6621,2006,failed,339.0,15100.0,2438.0,19119.0,1354.0,547.0,1901.0,3066.0,0.0,1298.0,-1370.0,-11532.0,195.0,5504.0,1248.6177,21123.0,5504.0,3603.0,E,48,"Transportation, Communications & Utilities",Communications
C_6239,2008,failed,391516.0,613809.0,828404.0,99.2,44143.0,96685.0,140828.0,599566.0,187044.0,208457.0,54117.0,-357091.0,23116.0,1427.97,625.3,388.86,1427.97,1287142.0,G,56,Retail Trade,Apparel Stores
C_5083,2006,failed,1105.0,1112.0,3.0,3141.0,4.0,-2577.0,-2573.0,0.03,0.0,1139.0,-2.7,-71945.0,0.0,33.0,9.5061,4392.0,33.0,2.606,H,67,"Finance, Insurance & Real Estate",Holding & Investment Offices
C_3726,2002,failed,55.766,64727.0,95102.0,0.0,2784.0,5.132,7916.0,29989.0,23.77,53819.0,1.417,-48173.0,27814.0,125091.0,56.0442,53819.0,125091.0,117175.0,I,73,Services,Business Services
C_8371,2017,failed,270034.0,1698701.0,752715.0,407771.0,79342.0,4535.0,83.877,131891.0,72904.0,119412.0,-6.639,360853.0,50453.0,884.606,334.4932,690.892,884.606,800.729,B,12,Mining,Coal Mining
C_4666,2010,failed,20386.0,45.818,19838.0,0.0,2186.0,-3459.0,-1273.0,29984.0,2555.0,18769.0,-4609.0,-374.863,7907.0,49822.0,51291.0,29086.0,49822.0,51095.0,D,36,Manufacturing,Electronic & Electrical Equipment
C_6880,2015,failed,224969.0,1161369.0,642722.0,838368.0,241605.0,-217686.0,23919.0,167377.0,36944.0,169555.0,-241745.0,-256812.0,103.99,810.099,113088.0,1055031.0,810.099,786.18,B,13,Mining,Oil & Gas Extraction
C_1046,2001,failed,21121.0,191056.0,73.489,44994.0,14.244,-31302.0,-17058.0,-12252.0,0.0,13322.0,-39347.0,-31212.0,13.87,61237.0,119364.0,70.677,61237.0,78295.0,B,13,Mining,Oil & Gas Extraction
C_258,2010,failed,49549.0,90313.0,288267.0,16.28,5175.0,758.0,5933.0,21831.0,31.99,39264.0,-0.566,26.633,15882.0,310098.0,28.6654,55544.0,310098.0,304165.0,D,20,Manufacturing,Food & Kindred Products
C_1618,1999,failed,107832.0,200351.0,138562.0,37.0,5.911,4.781,10692.0,67875.0,49097.0,28118.0,565.0,13511.0,41337.0,206437.0,89.4273,67688.0,206437.0,195745.0,D,38,Manufacturing,Instruments & Related Products
C_4018,2001,failed,140658.0,213871.0,57947.0,0.0,5483.0,-49.21,-43727.0,26715.0,40249.0,21461.0,-58069.0,26064.0,12053.0,84662.0,311.3664,34055.0,84662.0,128389.0,D,35,Manufacturing,Industrial Machinery & Equipment
C_2135,2001,failed,145.242,195549.0,201315.0,0.0,5.628,24.183,29811.0,210542.0,135672.0,65874.0,14659.0,195738.0,1339.0,411857.0,270.4251,94946.0,411857.0,382046.0,G,59,Retail Trade,Miscellaneous Retail
C_1576,2004,failed,227956.0,2213173.0,431324.0,380.0,99613.0,87789.0,187402.0,260826.0,38959.0,92242.0,101339.0,1201935.0,169.784,692.15,2235.1106,769275.0,692.15,504.748,E,44,"Transportation, Communications & Utilities",Water Transportation
C_8254,2013,failed,12364.0,12501.0,1.82,0.0,121.0,-4651.0,-4.53,135.0,0.0,42.711,-24749.0,-101718.0,2317.0,1955.0,2.7974,42.711,1955.0,6485.0,I,87,Services,Engineering & Management Services
C_139,2008,failed,20008.0,21487.0,1964.0,0.0,0.12,-4252.0,-4132.0,3179.0,1425.0,1277.0,-2439.0,-7.43,2587.0,5143.0,169.8518,1331.0,5143.0,9275.0,D,38,Manufacturing,Instruments & Related Products
C_868,2002,failed,213516.0,352668.0,89.093,10106.0,7755.0,59429.0,67184.0,155903.0,42343.0,75.62,28.11,139341.0,57385.0,244996.0,618778.0,92052.0,244996.0,177812.0,D,28,Manufacturing,Chemicals & Allied Products
C_3695,2004,failed,15593.0,231617.0,15543.0,38.5,35435.0,27405.0,62.84,69.052,0.0,40022.0,16348.0,8845.0,13047.0,84595.0,221.6376,110.34,84595.0,21755.0,B,13,Mining,Oil & Gas Extraction
C_2194,2000,failed,360643.0,1560624.0,576018.0,674.349,65605.0,126408.0,192013.0,431.13,0.0,498387.0,78.61,-188514.0,286053.0,1007148.0,824.9579,1262782.0,1007148.0,815135.0,I,79,Services,Amusement & Recreation
C_3612,2000,failed,84803.0,132.652,154149.0,24.64,2604.0,11479.0,14083.0,45749.0,33222.0,26619.0,8543.0,48426.0,36762.0,199898.0,36.2165,53012.0,199898.0,185815.0,D,22,Manufacturing,Textile Mill Products
C_6872,2008,failed,2772.0,5248.0,8669.0,65.0,379.0,-57.0,322.0,875.0,354.0,4271.0,-681.0,-4420.0,1115.0,9544.0,45.85,5871.0,9544.0,9222.0,D,37,Manufacturing,Transportation Equipment
C_425,2005,failed,3424.0,7386.0,7895.0,67.0,310.0,-79.0,231.0,731.0,664.0,4892.0,-1605.0,201.0,1308.0,8626.0,1080.59,6757.0,8626.0,8395.0,D,37,Manufacturing,Transportation Equipment
C_6178,2003,failed,43556.0,90269.0,158106.0,1135.0,2659.0,2.848,5.507,61978.0,0.0,30.43,-0.786,-163762.0,38265.0,220084.0,84637.0,32.6,220084.0,214577.0,E,47,"Transportation, Communications & Utilities",Transportation Services
C_3452,2000,failed,8061.0,13931.0,15713.0,4.18,0.21,-1999.0,-1789.0,3736.0,1883.0,7609.0,-2.751,-3835.0,5.179,19449.0,7.0716,11874.0,19449.0,21.238,D,27,Manufacturing,Printing & Publishing
C_5760,2005,failed,4276.0,11144.0,4828.0,4006.0,0.666,253.0,919.0,2975.0,0.0,1121.0,79.0,-9281.0,1342.0,7803.0,15.6192,5.127,7803.0,6884.0,D,28,Manufacturing,Chemicals & Allied Products
C_5076,2008,failed,295712.0,549279.0,235756.0,0.0,24638.0,90281.0,114919.0,152072.0,64844.0,83848.0,110316.0,368838.0,65.724,387828.0,839.8581,106745.0,387828.0,272909.0,D,32,Manufacturing,"Stone, Clay & Glass"
C_7084,2003,failed,682.74,5280265.0,2366956.0,1173.49,234336.0,119663.0,353999.0,462524.0,246493.0,631.968,31.348,126577.0,220891.0,2829.48,2279.3264,4146299.0,2829.48,2475481.0,B,12,Mining,Coal Mining
C_3392,2004,failed,433151.0,648.402,831.019,178355.0,26909.0,45774.0,72683.0,548095.0,294152.0,182029.0,20162.0,145.59,94475.0,1379114.0,254.5586,385845.0,1379114.0,1306431.0,G,53,Retail Trade,General Merchandise Stores
C_14,2002,failed,100724.0,115703.0,190419.0,0.0,1629.0,7336.0,8965.0,38.91,36271.0,42413.0,4945.0,40958.0,46683.0,229329.0,69.6583,42413.0,229329.0,220364.0,F,51,Wholesale Trade,Wholesale Trade – Nondurable Goods
C_7692,2017,failed,9044.0,91799.0,159982.0,36921.0,15183.0,-21086.0,-5903.0,19099.0,1706.0,16.603,-23432.0,-79666.0,1371.0,179081.0,17.6925,86.136,179081.0,184984.0,G,58,Retail Trade,Eating & Drinking Places
C_1019,2010,alive,17262.0,50984.0,11414.0,1.5,1844.0,10041.0,11885.0,21412.0,5714.0,9931.0,6183.0,30912.0,7041.0,32826.0,93.6158,14567.0,32826.0,20941.0,D,38,Manufacturing,Instruments & Related Products
C_1523,2009,failed,2015.7,2429.3,2304.3,627.8,92.9,370.9,463.8,1971.7,670.6,654.5,205.0,2317.4,322.5,4276.0,2441.9265,1381.0,4276.0,3812.2,G,57,Retail Trade,Furniture & Home Furnishings
C_1372,2001,failed,12594.0,47883.0,22.92,10.0,2.973,2946.0,5919.0,12843.0,644.0,4209.0,1232.0,41507.0,737.0,35.763,11.7223,15264.0,35.763,29844.0,I,79,Services,Amusement & Recreation
C_8826,2016,failed,112428.0,1134478.0,81801.0,0.0,135907.0,-105948.0,29959.0,113494.0,4685.0,1070466.0,-198.95,-795.978,21263.0,195295.0,50.6542,1115417.0,195295.0,165.336,B,13,Mining,Oil & Gas Extraction
C_1189,2003,failed,141423.0,2000686.0,144145.0,787.588,79.2,191107.0,270307.0,309975.0,495.0,98208.0,121309.0,817.389,59624.0,454.12,1222.5993,1083611.0,454.12,183813.0,E,44,"Transportation, Communications & Utilities",Water Transportation
C_4479,2009,failed,37529.0,54292.0,56.32,6572.0,1169.0,3842.0,5011.0,25965.0,13042.0,25762.0,1.83,-16.3,20.593,82285.0,19.2259,33346.0,82285.0,77274.0,D,36,Manufacturing,Electronic & Electrical Equipment
C_240,2003,failed,20476.0,51523.0,55596.0,41129.0,2582.0,-638.0,1944.0,12913.0,8207.0,32.79,2.64,-53527.0,10087.0,68509.0,9279.0,79278.0,68509.0,66565.0,D,30,Manufacturing,Rubber & Plastics
C_6268,2011,failed,3743.0,10695.0,171.0,1.03,38.0,-1.687,-1649.0,1531.0,0.399,973.0,-1.0,-9427.0,2.054,1702.0,2.3614,2003.0,1702.0,3.351,D,28,Manufacturing,Chemicals & Allied Products
C_281,1999,failed,255548.0,413341.0,483126.0,122625.0,9866.0,25341.0,35207.0,224.339,169618.0,128997.0,8714.0,119.72,83352.0,707465.0,165.064,271.53,707465.0,672258.0,F,50,Wholesale Trade,Wholesale Trade – Durable Goods
C_1500,2008,failed,71455.0,215123.0,141475.0,0.0,8003.0,-4.594,3409.0,100525.0,52.48,28.24,-3423.0,209586.0,1589.0,242.0,79.0778,29.08,242.0,238591.0,H,65,"Finance, Insurance & Real Estate",Real Estate
C_139,2013,failed,13.02,14.34,2.13,0.0,132.0,-8273.0,-8141.0,1544.0,2446.0,2143.0,-8252.0,-45629.0,924.0,3674.0,51.6526,2196.0,3674.0,11815.0,D,38,Manufacturing,Instruments & Related Products
C_5804,2005,failed,127633.0,209319.0,315699.0,41.27,10318.0,21798.0,32116.0,48121.0,21952.0,76.326,5093.0,27867.0,79742.0,363.82,193.6453,122904.0,363.82,331704.0,D,37,Manufacturing,Transportation Equipment
C_6477,1999,failed,38277.0,66.23,2883.0,0.0,3931.0,-36302.0,-32371.0,-17.0,3182.0,10405.0,-35.53,-250351.0,321.0,2866.0,220.0249,12193.0,2866.0,35.237,D,28,Manufacturing,Chemicals & Allied Products
C_8912,2012,failed,379.0,1693.0,0.02,373.0,52.0,-2309.0,-2257.0,63.0,0.0,363.0,-2.32,-2614.0,111.0,83.0,55284.0,736.0,83.0,2.34,I,73,Services,Business Services
C_6148,2002,failed,1380.7,2168.0,1297.3,500.0,23.9,41.7,65.6,128.9,889.7,455.5,16.2,10.6,185.1,1426.2,715528.0,1218.7,1426.2,1360.6,B,14,Mining,Nonmetallic Minerals
C_998,2002,failed,762905.0,1278171.0,1703.327,86104.0,40811.0,-155931.0,-115.12,45354.0,149.848,917049.0,-776.394,-1513744.0,289289.0,1748681.0,281.5902,1694928.0,1748681.0,1863801.0,D,34,Manufacturing,Fabricated Metal Products
C_820,2005,failed,73818.0,449507.0,211965.0,161.72,22379.0,11.76,34139.0,50191.0,3575.0,57698.0,6996.0,88163.0,42815.0,262156.0,94.6373,271.239,262156.0,228017.0,E,44,"Transportation, Communications & Utilities",Water Transportation
C_7212,2008,failed,89.487,173929.0,403689.0,105.26,6146.0,18581.0,24727.0,134125.0,0.0,60479.0,-116895.0,-283.859,70375.0,537814.0,7124.0,171.84,537814.0,513087.0,I,73,Services,Business Services
C_4242,2008,failed,38928.0,55.601,78709.0,14.5,4.193,401.0,4.594,33854.0,17774.0,34231.0,-32.614,-41838.0,16754.0,112563.0,17.1082,49184.0,112563.0,107969.0,D,39,Manufacturing,Miscellaneous Manufacturing
C_2447,2002,failed,24741.0,29951.0,56041.0,634.0,0.383,-0.549,-166.0,7262.0,15049.0,10.16,-935.0,13251.0,2611.0,63303.0,21139.0,10794.0,63303.0,63469.0,D,37,Manufacturing,Transportation Equipment
C_6991,2002,failed,63.15,87615.0,9366.0,2313.0,4221.0,-30.37,-26149.0,29934.0,6.85,15483.0,-29072.0,-102293.0,13627.0,39.3,94.3299,19229.0,39.3,65449.0,D,28,Manufacturing,Chemicals & Allied Products
C_6107,2012,failed,877949.0,2835418.0,628191.0,0.0,418652.0,137529.0,556181.0,671818.0,0.0,2653848.0,62401.0,-1424034.0,528794.0,1300009.0,80.3983,2794809.0,1300009.0,743828.0,I,73,Services,Business Services
C_10,2002,alive,812688.0,8425806.0,1696346.0,2881695.0,424886.0,516047.0,940933.0,940933.0,119837.0,1055115.0,149408.0,953253.0,447.91,2637.279,3110883.0,5739653.0,2637.279,1696346.0,E,49,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
C_3695,2013,failed,71407.0,667.19,47.693,425.0,73.198,40.24,113438.0,135.177,0.0,97537.0,14082.0,-181681.0,56224.0,182.87,275.0285,568095.0,182.87,69432.0,B,13,Mining,Oil & Gas Extraction
C_533,2005,failed,134827.0,198063.0,105195.0,8596.0,7.992,43383.0,51375.0,51375.0,18067.0,22892.0,50332.0,-284.979,19532.0,156.57,646.4015,42343.0,156.57,105195.0,D,36,Manufacturing,Electronic & Electrical Equipment
C_3445,2010,failed,2191.0,2197.0,0.78,0.0,0.01,-1128.0,-1118.0,516.0,256.0,177.0,-1083.0,-81.04,98.0,1296.0,27.8353,177.0,1296.0,2414.0,D,36,Manufacturing,Electronic & Electrical Equipment
C_3741,2003,failed,591.2,2296.6,1689.7,752.4,157.5,71.4,228.9,366.7,189.3,379.9,996.5,47.4,324.4,2056.4,550.5,1667.0,2056.4,1827.5,D,37,Manufacturing,Transportation Equipment
C_6021,1999,failed,15.471,20689.0,96268.0,3338.0,187.0,1682.0,1869.0,8671.0,3811.0,7614.0,0.827,8263.0,6.833,104939.0,54.2875,10953.0,104939.0,103.07,D,28,Manufacturing,Chemicals & Allied Products
C_5353,2006,failed,175.684,254061.0,128475.0,145621.0,7739.0,-72109.0,-64.37,37099.0,2891.0,45934.0,-77783.0,-382.553,51.366,165574.0,637.7766,201354.0,165574.0,229944.0,I,73,Services,Business Services
C_4699,2000,failed,410407.0,1890566.0,569577.0,942972.0,173085.0,-12362.0,160.723,302.06,131859.0,323625.0,-43.39,-388941.0,145.97,871637.0,674.3759,1449734.0,871637.0,710914.0,D,36,Manufacturing,Electronic & Electrical Equipment
C_1440,2003,failed,28.02,143731.0,88505.0,44892.0,16.16,0.438,16598.0,19371.0,0.0,21992.0,-1.79,-14018.0,20033.0,107876.0,181545.0,72895.0,107876.0,91278.0,B,13,Mining,Oil & Gas Extraction
C_1960,2003,failed,11703.0,14.42,30026.0,0.91,1794.0,1855.0,3649.0,5.923,0.819,12186.0,81862.0,-37897.0,5456.0,35949.0,4748.0,16343.0,35949.0,32.3,B,13,Mining,Oil & Gas Extraction
C_7510,2014,failed,11313.0,38.068,59.696,4.63,4572.0,-5517.0,-945.0,23424.0,0.0,17347.0,-5501.0,-109465.0,8426.0,83.12,24.2258,22457.0,83.12,84065.0,I,73,Services,Business Services
C_2966,2005,failed,8423.0,13838.0,17335.0,264.0,945.0,-5881.0,-4936.0,4258.0,0.0,10478.0,-8453.0,-16335.0,84.0,21.593,28.9762,10.77,21.593,26529.0,E,47,"Transportation, Communications & Utilities",Transportation Services
C_357,1999,failed,72077.0,133.074,79053.0,31795.0,6.48,12463.0,18943.0,68907.0,22827.0,22833.0,7854.0,-43.781,39.7,147.96,88.8413,61466.0,147.96,129017.0,D,36,Manufacturing,Electronic & Electrical Equipment
C_7938,2007,failed,497.8,8210.7,1143.7,5331.2,540.0,1151.7,1691.7,2103.8,30.1,641.1,917.1,413.0,327.1,3247.5,5917.59,7510.9,3247.5,1555.8,E,48,"Transportation, Communications & Utilities",Communications
C_1576,2002,failed,213492.0,1849578.0,369811.0,139.0,83.153,117453.0,200606.0,266012.0,31277.0,72266.0,88.63,1129441.0,160773.0,635823.0,1626.6146,496888.0,635823.0,435217.0,E,44,"Transportation, Communications & Utilities",Water Transportation
